0-1-13	0301
0-1-14	0300
0-1-15	0308
0-1-16	0302
0-1-17	0305
0-1-18	0332
0-2-94	20DD
0-85-1	3402
0-85-2	20158
0-85-3	4EFD
0-85-4	4EFF
0-85-5	4F9A
0-85-6	4FC9
0-85-7	509C
0-85-8	511E
0-85-9	51BC
0-85-10	351F
0-85-11	5307
0-85-12	5361
0-85-13	536C
0-85-14	8A79
0-85-15	20BB7
0-85-16	544D
0-85-17	5496
0-85-18	549C
0-85-19	54A9
0-85-20	550E
0-85-21	554A
0-85-22	5672
0-85-23	56E4
0-85-24	5733
0-85-25	5734
0-85-26	FA10
0-85-27	5880
0-85-28	59E4
0-85-29	5A23
0-85-30	5A55
0-85-31	5BEC
0-85-32	FA11
0-85-33	37E2
0-85-34	5EAC
0-85-35	5F34
0-85-36	5F45
0-85-37	5FB7
0-85-38	6017
0-85-39	FA6B
0-85-40	6130
0-85-41	6624
0-85-42	66C8
0-85-43	66D9
0-85-44	66FA
0-85-45	66FB
0-85-46	6852
0-85-47	9FC4
0-85-48	6911
0-85-49	693B
0-85-50	6A45
0-85-51	6A91
0-85-52	6ADB
0-85-53	233CC
0-85-54	233FE
0-85-55	235C4
0-85-56	6BF1
0-85-57	6CE0
0-85-58	6D2E
0-85-59	FA45
0-85-60	6DBF
0-85-61	6DCA
0-85-62	6DF8
0-85-63	FA46
0-85-64	6F5E
0-85-65	6FF9
0-85-66	7064
0-85-67	FA6C
0-85-68	242EE
0-85-69	7147
0-85-70	71C1
0-85-71	7200
0-85-72	739F
0-85-73	73A8
0-85-74	73C9
0-85-75	73D6
0-85-76	741B
0-85-77	7421
0-85-78	FA4A
0-85-79	7426
0-85-80	742A
0-85-81	742C
0-85-82	7439
0-85-83	744B
0-85-84	3EDA
0-85-85	7575
0-85-86	7581
0-85-87	7772
0-85-88	4093
0-85-89	78C8
0-85-90	78E0
0-85-91	7947
0-85-92	79AE
0-85-93	9FC6
0-85-94	4103
0-86-1	9FC5
0-86-2	79DA
0-86-3	7A1E
0-86-4	7B7F
0-86-5	7C31
0-86-6	4264
0-86-7	7D8B
0-86-8	7FA1
0-86-9	8118
0-86-10	813A
0-86-11	FA6D
0-86-12	82AE
0-86-13	845B
0-86-14	84DC
0-86-15	84EC
0-86-16	8559
0-86-17	85CE
0-86-18	8755
0-86-19	87EC
0-86-20	880B
0-86-21	88F5
0-86-22	89D2
0-86-23	8AF6
0-86-24	8DCE
0-86-25	8FBB
0-86-26	8FF6
0-86-27	90DD
0-86-28	9127
0-86-29	912D
0-86-30	91B2
0-86-31	9233
0-86-32	9288
0-86-33	9321
0-86-34	9348
0-86-35	9592
0-86-36	96DE
0-86-37	9903
0-86-38	9940
0-86-39	9AD9
0-86-40	9BD6
0-86-41	9DD7
0-86-42	9EB4
0-86-43	9EB5
0-90-1	26CC
0-90-2	26CD
0-90-3	2757
0-90-4	26CF
0-90-5	26D0
0-90-6	26D1
0-90-8	26D2
0-90-9	26D5
0-90-10	26D3
0-90-11	26D4
0-90-16	1F17F
0-90-17	1F18A
0-90-20	26D6
0-90-21	26D7
0-90-22	26D8
0-90-23	26D9
0-90-24	26DA
0-90-25	26DB
0-90-26	26DC
0-90-27	26DD
0-90-28	26DE
0-90-29	26DF
0-90-30	26E0
0-90-31	26E1
0-90-32	2B55
0-90-33	3248
0-90-34	3249
0-90-35	324A
0-90-36	324B
0-90-37	324C
0-90-38	324D
0-90-39	324E
0-90-40	324F
0-90-45	2491
0-90-46	2492
0-90-47	2493
0-90-48	1F14A
0-90-49	1F14C
0-90-50	1F13F
0-90-51	1F146
0-90-52	1F14B
0-90-53	1F210
0-90-54	1F211
0-90-55	1F212
0-90-56	1F213
0-90-57	1F142
0-90-59	1F215
0-90-60	1F216
0-90-61	1F14D
0-90-62	1F131
0-90-63	1F13D
0-90-64	2B1B
0-90-65	2B24
0-90-66	1F217
0-90-67	1F218
0-90-68	1F219
0-90-69	1F21A
0-90-70	1F21B
0-90-71	26BF
0-90-72	1F21C
0-90-73	1F21D
0-90-74	1F21E
0-90-75	1F21F
0-90-76	1F220
0-90-77	1F221
0-90-78	1F222
0-90-79	1F223
0-90-80	1F224
0-90-81	1F225
0-90-82	1F14E
0-90-83	3299
0-90-84	1F200
0-91-1	26E3
0-91-2	2B56
0-91-3	2B57
0-91-4	2B58
0-91-5	2B59
0-91-6	2613
0-91-7	328B
0-91-8	3012
0-91-9	26E8
0-91-10	3246
0-91-11	3245
0-91-12	26E9
0-91-13	0FD6
0-91-14	26EA
0-91-15	26EB
0-91-16	26EC
0-91-17	2668
0-91-18	26ED
0-91-19	26EE
0-91-20	26EF
0-91-21	2693
0-91-22	2708
0-91-23	26F0
0-91-24	26F1
0-91-25	26F2
0-91-26	26F3
0-91-27	26F4
0-91-28	26F5
0-91-30	24B9
0-91-31	24C8
0-91-32	26F6
0-91-33	1F15F
0-91-34	1F18B
0-91-35	1F18D
0-91-36	1F18C
0-91-37	1F179
0-91-38	26F7
0-91-39	26F8
0-91-40	26F9
0-91-41	26FA
0-91-42	1F17B
0-91-43	260E
0-91-44	26FB
0-91-45	26FC
0-91-46	26FD
0-91-47	26FE
0-91-48	1F17C
0-91-49	26FF
0-92-1	27A1
0-92-2	2B05
0-92-3	2B06
0-92-4	2B07
0-92-5	2B2F
0-92-6	2B2E
0-92-11	33A1
0-92-12	33A5
0-92-13	339D
0-92-14	33A0
0-92-15	33A4
0-92-16	1F100
0-92-17	2488
0-92-18	2489
0-92-19	248A
0-92-20	248B
0-92-21	248C
0-92-22	248D
0-92-23	248E
0-92-24	248F
0-92-25	2490
0-92-32	1F101
0-92-33	1F102
0-92-34	1F103
0-92-35	1F104
0-92-36	1F105
0-92-37	1F106
0-92-38	1F107
0-92-39	1F108
0-92-40	1F109
0-92-41	1F10A
0-92-42	3233
0-92-43	3236
0-92-44	3232
0-92-45	3231
0-92-46	3239
0-92-47	3244
0-92-48	25B6
0-92-49	25C0
0-92-50	3016
0-92-51	3017
0-92-52	27D0
0-92-53	00B2
0-92-54	00B3
0-92-55	1F12D
0-92-86	1F12C
0-92-87	1F12B
0-92-88	3247
0-92-89	1F190
0-92-90	1F226
0-92-91	213B
0-93-1	322A
0-93-2	322B
0-93-3	322C
0-93-4	322D
0-93-5	322E
0-93-6	322F
0-93-7	3230
0-93-8	3237
0-93-9	337E
0-93-10	337D
0-93-11	337C
0-93-12	337B
0-93-13	2116
0-93-14	2121
0-93-15	3036
0-93-16	26BE
0-93-17	1F240
0-93-18	1F241
0-93-19	1F242
0-93-20	1F243
0-93-21	1F244
0-93-22	1F245
0-93-23	1F246
0-93-24	1F247
0-93-25	1F248
0-93-26	1F12A
0-93-27	1F227
0-93-28	1F228
0-93-29	1F229
