1	101
1	18155
1	8094
10	18164
10	272
10	8103
100	18254
101	1
101	8094
102	8056
103	8057
105	8058
106	8320
1086	693
1086	787
1086	9105
1086	9140
1088	9073
109	8059
1093	8965
1093	9055
11	18165
11	273
11	8104
110	8060
1101	9074
111	8061
112	61
112	8190
1122	9059
113	8062
113	8189
113	95
1137	9032
114	8
114	8101
115	8
115	8101
116	3
116	8096
117	3
117	8096
1177	9040
118	8063
119	8064
1198	9004
12	18166
12	274
12	8105
120	8065
1204	9054
121	8066
122	8067
123	8068
124	8069
125	8070
126	8071
127	8072
128	8073
129	8074
13	18167
13	275
13	8106
130	8244
131	8241
133	8249
136	8242
1377	694
1377	788
1377	9106
1377	9141
1390	9022
1390	9138
14	18168
14	276
14	8107
1451	9021
1451	9137
1493	9136
15	18169
15	277
15	8108
1518	695
1518	789
1518	9107
1518	9142
1521	9123
1521	9226
1529	8951
1529	9000
1529	9060
1529	9120
1536	8954
1536	9024
1586	8960
1586	9030
16	18170
16	278
16	8109
17	18171
17	279
17	8110
17	8506
17	8516
1719	8968
1719	9002
1732	696
1732	790
1732	9011
1732	9143
175	8075
179	8243
18	18172
18	280
18	733
18	8111
18	827
18	8297
18	8322
18	8342
18	8414
18	8434
18	8454
18	8507
18	8517
18	8673
18	9233
184	8259
1859	697
1859	791
1859	9012
1859	9109
188	8258
19	18173
19	281
19	734
19	8112
19	828
19	8298
19	8323
19	8343
19	8415
19	8435
19	8455
19	8508
19	8518
19	8674
19	9234
190	8257
191	8256
1914	8953
1914	9023
1945	8950
1945	8999
1988	698
1988	792
1988	9013
1988	9110
1992	8962
1992	9033
1992	9139
2	18156
2	264
2	8095
20	18174
20	282
20	735
20	8113
20	829
20	8299
20	8324
20	8344
20	8416
20	8436
20	8456
20	8509
20	8519
20	8675
20	9235
2040	9061
2052	9036
2052	9122
2071	8956
2071	9026
21	18175
21	283
21	736
21	8114
21	830
21	8300
21	8325
21	8345
21	8417
21	8437
21	8457
21	8510
21	8520
21	8676
21	9236
2106	8961
2106	9031
2106	9119
2117	9098
2117	9121
212	8260
2190	699
2190	793
2190	9014
2190	9111
22	18176
22	284
22	737
22	8115
22	8301
22	831
22	8326
22	8346
22	8418
22	8438
22	8458
22	8511
22	8521
22	8677
22	9237
2202	9062
2243	9063
2243	9124
2263	9228
2264	9034
2299	8959
2299	9029
23	18177
23	285
23	738
23	8116
23	8302
23	832
23	8327
23	8347
23	8419
23	8439
23	8459
23	8512
23	8522
23	8678
23	9238
2300	9038
2342	9099
2342	9125
2344	9064
2346	9075
24	18178
24	286
24	739
24	8117
24	8303
24	8328
24	833
24	8348
24	8420
24	8440
24	8460
24	8513
24	8523
24	8679
24	9239
2439	700
2439	794
2439	9015
2439	9112
2465	8966
2465	9037
25	18179
25	287
25	740
25	8118
25	8304
25	8329
25	834
25	8349
25	8421
25	8441
25	8461
25	8514
25	8524
25	8680
25	9240
2504	9065
2504	9126
2505	9005
2520	8971
2520	9009
2520	9066
2520	9127
2555	9071
2555	9144
2583	9067
26	18180
26	288
26	741
26	8119
26	8305
26	8330
26	835
26	8350
26	8422
26	8442
26	8462
26	8515
26	8525
26	8681
26	9241
2604	9039
2613	9101
2613	9128
2618	9006
2618	9102
2618	9129
2633	9231
2635	8967
2635	9035
2636	9230
264	2
264	8076
264	8095
264	8261
2641	9100
2641	9130
2647	701
2647	795
2647	8963
2647	9016
2647	9113
2648	9068
265	3
265	8096
266	4
266	8097
267	5
267	8098
268	6
268	8099
2681	8957
2681	9027
2685	8958
2685	9028
2687	9007
2689	9131
269	7
269	8100
27	18181
27	289
27	8120
270	8
270	8101
2705	8998
2705	9053
2707	9010
2707	9132
271	8077
271	8102
271	8250
271	9
272	10
272	8078
272	8103
272	8251
273	11
273	8104
2737	257
2737	8952
2737	9001
2737:2343:3365:2190	8759
2739	9069
2739	9133
274	12
274	8105
274	8239
2746	9229
275	13
275	8079
275	8106
276	14
276	8107
276	8240
277	15
277	8080
277	8108
2770	9103
278	16
278	8109
279	17
279	8110
279	8506
279	8516
28	18182
28	290
28	8121
280	18
280	733
280	8111
280	827
280	8297
280	8322
280	8342
280	8414
280	842
280	8434
280	8454
280	847
280	8507
280	8517
280	8673
280	9233
281	19
281	734
281	8112
281	828
281	8298
281	8323
281	8343
281	8415
281	843
281	8435
281	8455
281	848
281	8508
281	8518
281	8674
281	9234
282	20
282	735
282	8113
282	829
282	8299
282	8324
282	8344
282	8416
282	8436
282	844
282	8456
282	849
282	8509
282	8519
282	8675
282	9235
283	21
283	736
283	8114
283	830
283	8300
283	8325
283	8345
283	8417
283	8437
283	845
283	8457
283	850
283	8510
283	8520
283	8676
283	9236
284	22
284	737
284	8115
284	8301
284	831
284	8326
284	8346
284	8418
284	8438
284	8458
284	8511
284	8521
284	8677
284	9237
285	23
285	738
285	8116
285	8302
285	832
285	8327
285	8347
285	8419
285	8439
285	8459
285	8512
285	8522
285	8678
285	9238
286	24
286	739
286	8117
286	8303
286	8328
286	833
286	8348
286	8420
286	8440
286	8460
286	8513
286	8523
286	8679
286	9239
2864	702
2864	796
2864	9017
2864	9114
2869	9227
287	25
287	740
287	8118
287	8304
287	8329
287	834
287	8349
287	8421
287	8441
287	8461
287	8514
287	8524
287	8680
287	9240
288	26
288	741
288	8119
288	8305
288	8330
288	835
288	8350
288	8422
288	8442
288	8462
288	8515
288	8525
288	8681
288	9241
289	27
289	8081
289	8120
29	18183
29	291
29	8122
290	28
290	8082
290	8121
291	29
291	8083
291	8122
291	8246
292	30
292	8084
292	8123
292	8248
293	31
293	8085
293	8124
293	8247
294	32
294	8086
294	8125
295	33
295	8126
296	34
296	8127
296	8362
296	8388
296	8526
296	8898
297	35
297	8128
297	8363
297	8389
297	8527
297	8899
2976	703
2976	797
2976	9018
2976	9115
297:344	662
298	36
298	8129
298	8364
298	8390
298	8528
298	8900
298:342	259
299	37
299	8130
299	8365
299	8391
299	8529
299	8901
3	18157
3	265
3	8096
30	18184
30	292
30	8123
300	38
300	8131
300	8366
300	8392
300	8530
300	8902
301	39
301	8132
301	8367
301	8393
301	8531
301	8903
302	40
302	8133
302	8368
302	8394
302	8532
302	8904
302:303:353	641
302:311:328	658
302:352	663
303	41
303	8134
303	8369
303	8395
303	8533
303	8905
